status,trade_id,symbol,direction,strategy,confidence,entry_time,entry_price,exit_time,exit_price,tp_set,sl_set,pnl_gbp,pnl_pips,duration_minutes,position_size,session,day_of_week,hour_of_day,exit_reason,market_regime,volatility_at_entry,spread_pips,atr_pips,order_flow_bias,multi_tf_alignment,max_favorable_excursion_pips,max_adverse_excursion_pips,market_conditions_json,indicators_json
TRADED,99004,GBP_USD,sell,unknown_restart,0.0,2026-02-19T10:48:41.600886623Z,1.34895,2026-02-19T14:10:01.295745201Z,1.34486,0.0,0.0,98.3495,40.90000000000149,201,32500.0,,Thursday,10,take_profit,,,,,,,,,{},{}
TRADED,99001,GBP_USD,sell,unknown_restart,0.0,2026-02-19T10:48:12.046446249Z,1.34886,2026-02-19T14:10:03.051912891Z,1.34477,0.0,0.0,98.3462,40.89999999999927,201,32497.0,,Thursday,10,take_profit,,,,,,,,,{},{}
TRADED,98992,USD_CAD,buy,unknown_restart,0.0,2026-02-17T13:59:30.835132477Z,1.36717,2026-02-19T14:36:28.573248598Z,1.3713,0.0,0.0,102.9365,41.29999999999967,2916,46148.0,,Tuesday,13,take_profit,,,,,,,,,{},{}
TRADED,98988,GBP_USD,sell,unknown_restart,0.0,2026-02-17T13:44:56.568106652Z,1.35268,2026-02-19T04:29:26.528598235Z,1.34857,0.0,0.0,102.8322,41.10000000000058,2324,33909.0,,Tuesday,13,take_profit,,,,,,,,,{},{}
TRADED,98984,EUR_USD,sell,unknown_restart,0.0,2026-02-17T13:43:51.221667132Z,1.18184,2026-02-19T11:37:57.111139383Z,1.17777,0.0,0.0,101.7554,40.70000000000018,2754,33840.0,,Tuesday,13,take_profit,,,,,,,,,{},{}
TRADED,98974,GBP_USD,sell,unknown_restart,0.0,2026-02-17T07:17:33.776574538Z,1.35719,2026-02-17T13:42:44.132148511Z,1.35309,0.0,0.0,86.9858,40.99999999999993,385,28850.0,,Tuesday,7,take_profit,,,,,,,,,{},{}
TRADED,98962,AUD_USD,sell,unknown_restart,0.0,2026-02-13T06:06:02.650870393Z,0.70652,2026-02-20T01:50:55.113973861Z,0.70241,0.0,0.0,85.7288,41.10000000000058,9824,28179.0,,Friday,6,take_profit,,,,,,,,,{},{}
TRADED,98955,EUR_GBP,buy,unknown_restart,0.0,2026-02-12T17:31:21.906607461Z,0.87122,2026-02-26T17:49:31.503509009Z,0.87536,0.0,0.0,91.7797,41.400000000000325,20178,22169.0,,Thursday,17,take_profit,,,,,,,,,{},{}
TRADED,98951,USD_CAD,buy,unknown_restart,0.0,2026-02-12T16:41:49.984872017Z,1.36133,2026-02-17T12:51:03.651571934Z,1.36545,0.0,0.0,97.4854,41.20000000000124,6969,43989.0,,Thursday,16,take_profit,,,,,,,,,{},{}
TRADED,98943,GBP_USD,sell,unknown_restart,0.0,2026-02-12T06:44:46.487645077Z,1.36184,2026-02-17T07:15:07.674191672Z,1.35771,0.0,0.0,85.7856,41.29999999999967,7230,28342.0,,Thursday,6,take_profit,,,,,,,,,{},{}
TRADED,98940,GBP_USD,sell,unknown_restart,0.0,2026-02-12T06:43:29.457354617Z,1.36178,2026-02-17T07:15:07.694457962Z,1.35764,0.0,0.0,85.7701,41.400000000000325,7231,28267.0,,Thursday,6,take_profit,,,,,,,,,{},{}
TRADED,98933,USD_CAD,buy,unknown_restart,0.0,2026-02-12T00:25:46.053108774Z,1.35756,2026-02-12T16:12:02.949505688Z,1.36167,0.0,0.0,81.7529,41.09999999999836,946,37126.0,,Thursday,0,take_profit,,,,,,,,,{},{}
TRADED,98926,USD_CAD,buy,unknown_restart,0.0,2026-02-11T15:31:30.098718955Z,1.36155,2026-02-11T17:29:53.527169335Z,1.35565,0.0,0.0,-145.7251,-59.00000000000016,118,45525.0,,Wednesday,15,stop_loss,,,,,,,,,{},{}
TRADED,98920,USD_CAD,buy,unknown_restart,0.0,2026-02-11T14:04:57.044216491Z,1.35728,2026-02-11T15:30:33.617963176Z,1.36137,0.0,0.0,99.544,40.89999999999927,85,45430.0,,Wednesday,14,take_profit,,,,,,,,,{},{}
TRADED,98916,GBP_USD,sell,unknown_restart,0.0,2026-02-11T14:02:05.594891225Z,1.36487,2026-02-12T06:32:50.313469593Z,1.36082,0.0,0.0,99.4855,40.500000000001094,990,33594.0,,Wednesday,14,take_profit,,,,,,,,,{},{}
TRADED,98912,EUR_USD,sell,unknown_restart,0.0,2026-02-11T14:00:48.738615406Z,1.18605,2026-02-17T13:43:00.186267203Z,1.18199,0.0,0.0,100.0225,40.599999999999525,8622,33499.0,,Wednesday,14,take_profit,,,,,,,,,{},{}
